ISO,Rank2021,FR_Country,Country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
LSO,88,Lesotho,Lesotho,Lesoto,"31,54","10,99","31,61",-2,86,"30,45",Afrique,??????,??????
LTU,28,Lituanie,Lithuania,Lituania,"20,15",0,"20,15",0,28,"21,19",UE Balkans,????????,???????
LUX,20,Luxembourg,Luxembourg,Luxemburgo,"17,56",0,"17,56",-3,17,"15,46",UE Balkans,?????????,??????????
LVA,22,Lettonie,Latvia,Letonia,"19,26",0,"19,26",0,22,"18,56",UE Balkans,??????,??????
MAR,136,Maroc,Morocco,Marruecos,"41,86","55,21","43,94",-3,133,"42,88",MENA,??????,?????
MDA,89,Moldavie,Moldova,Moldavia,"31,61","6,93","31,61",2,91,"31,16",EEAC,???????,???????
MDG,57,Madagascar,Madagascar,Madagascar,"28,24",0,"28,24",-3,54,"27,68",Afrique,??????,??????????
MDV,72,Maldives,Maldives,Maldivas,"29,13",0,"29,13",7,79,"29,93",Asie-Pacifique,????????,??????
MEX,143,Mexique,Mexico,M?xico,"41,84","67,25","46,71",0,143,"45,45",Am?riques,???????,?????
MKD,90,Mac?doine,Macedonia,Rep©«blica de Macedonia,"31,67",0,"31,67",2,92,"31,28",UE Balkans,???????,???????
MLI,99,Mali,Mali,Mal?,"33,5","6,93","33,5",9,108,"34,12",Afrique,????,????
MLT,81,Malte,Malta,Malta,"30,46",0,"30,46",0,81,"30,16",UE Balkans,?????,????
MMR,140,Birmanie,Myanmar,Birmania,"46,14","30,91","46,14",-1,139,"44,77",Asie-Pacifique,?????,????
MNE,104,Mont?n?gro,Montenegro,Montenegro,"34,33","21,97","34,33",1,105,"33,83",UE Balkans,????? ??????,??????????
MNG,68,Mongolie,Mongolia,Mongolia,"28,97",0,"28,97",5,73,"29,61",Asie-Pacifique,???????,????????
MOZ,108,Mozambique,Mozambique,Mozambique,"35,39","13,86","35,39",-4,104,"33,79",Afrique,???????,????????
MRT,94,Mauritanie,Mauritania,Mauritania,"32,25",0,"32,25",3,97,"32,54",Afrique,?????????,????????
MUS,61,Maurice,Mauritius,Mauricio,"28,74",0,"28,74",-5,56,28,Afrique,????????,?????
MWI,62,Malawi,Malawi,Malaui,"28,8","17,92","28,8",7,69,"29,32",Afrique,??????,??????
MYS,119,Malaisie,Malaysia,Malasia,"39,47",0,"39,47",-18,101,"33,12",Asie-Pacifique,???????,?????
NAM,24,Namibie,Namibia,Namibia,"19,72","10,99","19,72",-1,23,"19,25",Afrique,???????,???????
NER,59,Niger,Niger,Niger,"28,44","13,86","28,44",-2,57,"28,25",Afrique,??????,????
NGA,120,Nigeria,Nigeria,Nigeria,"37,38","55,01","39,69",-5,115,"35,63",Afrique,???????,??????
NIC,121,Nicaragua,Nicaragua,Nicaragua,"39,98","27,08","39,98",-4,117,"35,81",Am?riques,?????????,??????????
